name,short_name,english_name,address,location,city,province,phone,email,website,facebook,logo_url,banner_url,description,history,mission,vision,type,status,founded_year,accreditation,specializations,facilities,achievements,ranking_national,ranking_international,student_count,faculty_count,acceptance_rate,tuition_fee_min,tuition_fee_max,currency,admission_requirements,scholarships,international_partnerships,campus_map_url,latitude,longitude,is_featured,is_verified,view_count,review_count,average_rating,total_rating,source,crawled_at
Học viện Khoa học Quân sự,Học viện K...,Học viện Khoa học Quân sự University,MSA,[],,,,,NQH,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.540579
Học viện Dân tộc,Học viện D...,Học viện Dân tộc University,VAEM,[],,,,,HVD,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.540600
Học viện Quốc phòng,Học viện Q...,Học viện Quốc phòng University,,[],,,,,,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.540620
Sĩ quan Chính trị,Sĩ quan Ch...,Sĩ quan Chính trị University,,[],,,,,LCH,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.540641
Học viện Chính trị Công an Nhân dân,Học viện C...,Học viện Chính trị Công an Nhân dân University,T29/T03,[],,,,,HCA,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.540665
Thành Đô,Thành Đô,Thành Đô University,TDU,[],,,,,TDD,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.540769
Phenikaa,Phenikaa,Phenikaa University,PHENA,[],,,,,PKA,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.540789
Thăng Long,Thăng Long,Thăng Long University,TLU,[],,,,,DTL,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.540811
Phương Đông,Phương Đôn...,Phương Đông University,PDU,[],,,,,DPD,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.540831
Đông Đô,Đông Đô,Đông Đô University,HDIU,[],,,,,DDU,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.540864
VinUni,VinUni,VinUni University,VINUNI,[],,,,,VIN,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.540884
Công nghệ Đông Á,Công nghệ ...,Công nghệ Đông Á University,EAUT,[],,,,,DDA,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.540905
Công nghệ và Quản lý Hữu nghị,Công nghệ ...,Công nghệ và Quản lý Hữu nghị University,UTM,[],,,,,DCQ,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.540938
Quốc tế RMIT Việt Nam,Quốc tế RM...,Quốc tế RMIT Việt Nam University,RMIT,[],,,,,RMU,,,,,,,,UniversityType.INTERNATIONAL,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.540959
Nguyễn Trãi,Nguyễn Trã...,Nguyễn Trãi University,NTU,[],,,,,NTU,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.540979
Hòa Bình,Hòa Bình,Hòa Bình University,HBU,[],,,,,ETU,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.541000
Đại Nam,Đại Nam,Đại Nam University,DNU,[],,,,,DDN,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.541022
Tài chính - Ngân hàng Hà Nội,Tài chính ...,Tài chính - Ngân hàng Hà Nội University,FBU,[],,,,,FBU,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.541044
Quốc tế Bắc Hà,Quốc tế Bắ...,Quốc tế Bắc Hà University,BHIU,[],,,,,DBH,,,,,,,,UniversityType.INTERNATIONAL,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.541066
Kinh doanh và Công nghệ Hà Nội,Kinh doanh...,Kinh doanh và Công nghệ Hà Nội University,HUBT,[],,,,,DQK,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.541091
Học viện Thiết kế và Thời trang London,Học viện T...,Học viện Thiết kế và Thời trang London University,,[],,,,,LCDF,,,,,,,,UniversityType.PUBLIC,UniversityStatus.ACTIVE,,,,,,,,,,,,,VND,,,,,,,False,True,0,0,0.0,0,Wikipedia Hà Nội,2025-08-03T22:02:48.541112
Đại học Bách khoa Hà Nội,BKHN,Hanoi University of Science and Technology,"Số 1 Đại Cồ Việt, Hai Bà Trưng, Hà Nội",['Hà Nội'],Hà Nội,Hà Nội,024 3869 4242,contact@hust.edu.vn,https://www.hust.edu.vn,https://www.facebook.com/dhbkhanoi,,,Trường đại học kỹ thuật hàng đầu Việt Nam,"Thành lập năm 1956, là một trong những trường đại học đầu tiên của Việt Nam",Đào tạo nguồn nhân lực chất lượng cao trong lĩnh vực kỹ thuật và công nghệ,Trở thành trường đại học nghiên cứu hàng đầu khu vực,UniversityType.PUBLIC,UniversityStatus.ACTIVE,1956.0,AUN-QA,"['Kỹ thuật', 'Công nghệ', 'Kinh tế', 'Ngoại ngữ']","['Thư viện', 'Phòng thí nghiệm', 'Ký túc xá', 'Sân thể thao']","['Top 1000 thế giới', 'Top 10 Việt Nam']",Top 5,Top 1000,45000.0,1200.0,15.5,15000000.0,25000000.0,VND,"['Tốt nghiệp THPT', 'Điểm thi THPT Quốc gia']","['Học bổng tài năng', 'Học bổng khuyến khích học tập']","['MIT', 'Stanford', 'Tokyo University']",,21.0074,105.8412,True,True,0,0,0.0,0,Manual,2025-08-03T22:03:29.010046
Đại học Quốc gia Hà Nội,VNU,"Vietnam National University, Hanoi","144 Xuân Thủy, Cầu Giấy, Hà Nội",['Hà Nội'],Hà Nội,Hà Nội,024 3754 7869,contact@vnu.edu.vn,https://www.vnu.edu.vn,https://www.facebook.com/vnuhanoi,,,Hệ thống đại học quốc gia hàng đầu Việt Nam,"Thành lập năm 1993, là hệ thống đại học quốc gia đầu tiên",Đào tạo nguồn nhân lực chất lượng cao cho đất nước,Trở thành đại học nghiên cứu hàng đầu khu vực,UniversityType.PUBLIC,UniversityStatus.ACTIVE,1993.0,AUN-QA,"['Khoa học tự nhiên', 'Khoa học xã hội', 'Công nghệ', 'Y tế']","['Thư viện', 'Phòng thí nghiệm', 'Bệnh viện', 'Trung tâm nghiên cứu']","['Top 1000 thế giới', 'Top 3 Việt Nam']",Top 3,Top 1000,50000.0,1500.0,12.0,12000000.0,20000000.0,VND,"['Tốt nghiệp THPT', 'Điểm thi THPT Quốc gia']","['Học bổng tài năng', 'Học bổng nghiên cứu']","['Harvard', 'Oxford', 'Tokyo University']",,21.0368,105.7821,True,True,0,0,0.0,0,Manual,2025-08-03T22:03:29.010083
Đại học FPT,FPT,FPT University,"Lô E2a-7, Đường D1, Khu Công nghệ cao, TP.HCM",['TP.HCM'],TP.HCM,TP.HCM,028 7300 1866,contact@fpt.edu.vn,https://fpt.edu.vn,https://www.facebook.com/fptuniversity,,,Trường đại học tư thục hàng đầu về công nghệ thông tin,"Thành lập năm 2006, thuộc Tập đoàn FPT",Đào tạo nguồn nhân lực chất lượng cao trong lĩnh vực CNTT,Trở thành trường đại học tư thục hàng đầu Việt Nam,UniversityType.PRIVATE,UniversityStatus.ACTIVE,2006.0,AUN-QA,"['Công nghệ thông tin', 'Kinh tế', 'Ngôn ngữ', 'Truyền thông']","['Thư viện', 'Phòng lab', 'Ký túc xá', 'Sân thể thao']","['Top 10 tư thục Việt Nam', 'Đối tác Microsoft']",Top 10 tư thục,Top 5000,25000.0,800.0,25.0,25000000.0,35000000.0,VND,"['Tốt nghiệp THPT', 'Phỏng vấn', 'Bài test']","['Học bổng tài năng', 'Học bổng khuyến khích']","['Microsoft', 'IBM', 'Samsung']",,10.8413,106.8098,True,True,0,0,0.0,0,Manual,2025-08-03T22:03:29.010100
